"","df09.instnm","df09.inexpfte","df09.tuitfte","df10.instnm","df10.inexpfte","df10.tuitfte","df11.instnm","df11.inexpfte","df11.tuitfte","df12.instnm","df12.inexpfte","df12.tuitfte","df13.instnm","df13.inexpfte","df13.tuitfte","df14.instnm","df14.inexpfte","df14.tuitfte"
"26","Carrington College-Mesa",6542,14755,"Carrington College-Mesa",6542,14755,"Carrington College-Mesa",6542,14755,"Carrington College-Mesa",6542,14755,"Carrington College-Mesa",6542,14755,"Carrington College-Mesa",6542,14755
"27","Northern Arizona University",7510,7331,"Northern Arizona University",7510,7331,"Northern Arizona University",7510,7331,"Northern Arizona University",7510,7331,"Northern Arizona University",7510,7331,"Northern Arizona University",7510,7331
"28","Yavapai College",5818,2060,"Yavapai College",5818,2060,"Yavapai College",5818,2060,"Yavapai College",5818,2060,"Yavapai College",5818,2060,"Yavapai College",5818,2060
"29","Everest College-Phoenix",7785,13130,"Everest College-Phoenix",7785,13130,"Everest College-Phoenix",7785,13130,"Everest College-Phoenix",7785,13130,"Everest College-Phoenix",7785,13130,"Everest College-Phoenix",7785,13130
"30","Pima Community College",3914,1742,"Pima Community College",3914,1742,"Pima Community College",3914,1742,"Pima Community College",3914,1742,"Pima Community College",3914,1742,"Pima Community College",3914,1742
"31","Grand Canyon University",1837,10550,"Grand Canyon University",1837,10550,"Grand Canyon University",1837,10550,"Grand Canyon University",1837,10550,"Grand Canyon University",1837,10550,"Grand Canyon University",1837,10550
"32","Arizona Academy of Beauty-East",6566,10287,"Arizona Academy of Beauty-East",6566,10287,"Arizona Academy of Beauty-East",6566,10287,"Arizona Academy of Beauty-East",6566,10287,"Arizona Academy of Beauty-East",6566,10287,"Arizona Academy of Beauty-East",6566,10287
"33","GateWay Community College",5491,2394,"GateWay Community College",5491,2394,"GateWay Community College",5491,2394,"GateWay Community College",5491,2394,"GateWay Community College",5491,2394,"GateWay Community College",5491,2394
"34","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division",3365,9773,"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division",3365,9773,"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division",3365,9773,"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division",3365,9773,"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division",3365,9773,"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division",3365,9773
"35","International School of Cosmetology-Toni & Guy Hairdressing Academy",2802,8111,"International School of Cosmetology-Toni & Guy Hairdressing Academy",2802,8111,"International School of Cosmetology-Toni & Guy Hairdressing Academy",2802,8111,"International School of Cosmetology-Toni & Guy Hairdressing Academy",2802,8111,"International School of Cosmetology-Toni & Guy Hairdressing Academy",2802,8111,"International School of Cosmetology-Toni & Guy Hairdressing Academy",2802,8111
"36","Aveda Institute-Phoenix",3472,2434,"Aveda Institute-Phoenix",3472,2434,"Aveda Institute-Phoenix",3472,2434,"Aveda Institute-Phoenix",3472,2434,"Aveda Institute-Phoenix",3472,2434,"Aveda Institute-Phoenix",3472,2434
"37","American Institute of Interior Design",1944,10364,"American Institute of Interior Design",1944,10364,"American Institute of Interior Design",1944,10364,"American Institute of Interior Design",1944,10364,"American Institute of Interior Design",1944,10364,"American Institute of Interior Design",1944,10364
"38","Penrose Academy",4914,9941,"Penrose Academy",4914,9941,"Penrose Academy",4914,9941,"Penrose Academy",4914,9941,"Penrose Academy",4914,9941,"Penrose Academy",4914,9941
"39","CollegeAmerica-Phoenix",1761,13937,"CollegeAmerica-Phoenix",1761,13937,"CollegeAmerica-Phoenix",1761,13937,"CollegeAmerica-Phoenix",1761,13937,"CollegeAmerica-Phoenix",1761,13937,"CollegeAmerica-Phoenix",1761,13937
"40","Avalon School of Cosmetology-Phoenix",3937,7589,"Avalon School of Cosmetology-Phoenix",3937,7589,"Avalon School of Cosmetology-Phoenix",3937,7589,"Avalon School of Cosmetology-Phoenix",3937,7589,"Avalon School of Cosmetology-Phoenix",3937,7589,"Avalon School of Cosmetology-Phoenix",3937,7589
