"","df09.instnm","df09.inexpfte","df09.tuitfte","df10.instnm","df10.inexpfte","df10.tuitfte","df11.instnm","df11.inexpfte","df11.tuitfte","df12.instnm","df12.inexpfte","df12.tuitfte","df13.instnm","df13.inexpfte","df13.tuitfte","df14.instnm","df14.inexpfte","df14.tuitfte"
"107","Sessions College for Professional Design",16892,43931,"Sessions College for Professional Design",16892,43931,"Sessions College for Professional Design",16892,43931,"Sessions College for Professional Design",16892,43931,"Sessions College for Professional Design",16892,43931,"Sessions College for Professional Design",16892,43931
"108","Trine University-Arizona Regional Campus",NA,NA,"Trine University-Arizona Regional Campus",NA,NA,"Trine University-Arizona Regional Campus",NA,NA,"Trine University-Arizona Regional Campus",NA,NA,"Trine University-Arizona Regional Campus",NA,NA,"Trine University-Arizona Regional Campus",NA,NA
"109","National Paralegal College",1627,7872,"National Paralegal College",1627,7872,"National Paralegal College",1627,7872,"National Paralegal College",1627,7872,"National Paralegal College",1627,7872,"National Paralegal College",1627,7872
"110","Pure Aesthetics",4190,16304,"Pure Aesthetics",4190,16304,"Pure Aesthetics",4190,16304,"Pure Aesthetics",4190,16304,"Pure Aesthetics",4190,16304,"Pure Aesthetics",4190,16304
"111","Utah College of Massage Therapy-Phoenix",1835,7360,"Utah College of Massage Therapy-Phoenix",1835,7360,"Utah College of Massage Therapy-Phoenix",1835,7360,"Utah College of Massage Therapy-Phoenix",1835,7360,"Utah College of Massage Therapy-Phoenix",1835,7360,"Utah College of Massage Therapy-Phoenix",1835,7360
"112","East Valley Institute of Technology",2044,4131,"East Valley Institute of Technology",2044,4131,"East Valley Institute of Technology",2044,4131,"East Valley Institute of Technology",2044,4131,"East Valley Institute of Technology",2044,4131,"East Valley Institute of Technology",2044,4131
"113","Embry-Riddle Aeronautical University-Prescott",14781,26607,"Embry-Riddle Aeronautical University-Prescott",14781,26607,"Embry-Riddle Aeronautical University-Prescott",14781,26607,"Embry-Riddle Aeronautical University-Prescott",14781,26607,"Embry-Riddle Aeronautical University-Prescott",14781,26607,"Embry-Riddle Aeronautical University-Prescott",14781,26607
"114","Collins College",15126,33714,"Collins College",15126,33714,"Collins College",15126,33714,"Collins College",15126,33714,"Collins College",15126,33714,"Collins College",15126,33714
"115","Thunderbird School of Global Management",55110,71514,"Thunderbird School of Global Management",55110,71514,"Thunderbird School of Global Management",55110,71514,"Thunderbird School of Global Management",55110,71514,"Thunderbird School of Global Management",55110,71514,"Thunderbird School of Global Management",55110,71514
"116","Arizona Automotive Institute",7086,17356,"Arizona Automotive Institute",7086,17356,"Arizona Automotive Institute",7086,17356,"Arizona Automotive Institute",7086,17356,"Arizona Automotive Institute",7086,17356,"Arizona Automotive Institute",7086,17356
"117","Refrigeration School Inc",1491,10449,"Refrigeration School Inc",1491,10449,"Refrigeration School Inc",1491,10449,"Refrigeration School Inc",1491,10449,"Refrigeration School Inc",1491,10449,"Refrigeration School Inc",1491,10449
"118","Charles of Italy Beauty College",1830,8454,"Charles of Italy Beauty College",1830,8454,"Charles of Italy Beauty College",1830,8454,"Charles of Italy Beauty College",1830,8454,"Charles of Italy Beauty College",1830,8454,"Charles of Italy Beauty College",1830,8454
"119","Northland Pioneer College",6303,1245,"Northland Pioneer College",6303,1245,"Northland Pioneer College",6303,1245,"Northland Pioneer College",6303,1245,"Northland Pioneer College",6303,1245,"Northland Pioneer College",6303,1245
"120","Midwestern University-Glendale",20904,44185,"Midwestern University-Glendale",20904,44185,"Midwestern University-Glendale",20904,44185,"Midwestern University-Glendale",20904,44185,"Midwestern University-Glendale",20904,44185,"Midwestern University-Glendale",20904,44185
"121","Carrington College-Phoenix",3582,13638,"Carrington College-Phoenix",3582,13638,"Carrington College-Phoenix",3582,13638,"Carrington College-Phoenix",3582,13638,"Carrington College-Phoenix",3582,13638,"Carrington College-Phoenix",3582,13638
"122","Pima Medical Institute-Tucson",2713,6165,"Pima Medical Institute-Tucson",2713,6165,"Pima Medical Institute-Tucson",2713,6165,"Pima Medical Institute-Tucson",2713,6165,"Pima Medical Institute-Tucson",2713,6165,"Pima Medical Institute-Tucson",2713,6165
"123","International Academy of Hair Design",5705,9428,"International Academy of Hair Design",5705,9428,"International Academy of Hair Design",5705,9428,"International Academy of Hair Design",5705,9428,"International Academy of Hair Design",5705,9428,"International Academy of Hair Design",5705,9428
"124","Prescott College",7738,17501,"Prescott College",7738,17501,"Prescott College",7738,17501,"Prescott College",7738,17501,"Prescott College",7738,17501,"Prescott College",7738,17501
"125","Arizona State University-Tempe",9671,12460,"Arizona State University-Tempe",9671,12460,"Arizona State University-Tempe",9671,12460,"Arizona State University-Tempe",9671,12460,"Arizona State University-Tempe",9671,12460,"Arizona State University-Tempe",9671,12460
"126","Mesa Community College",4701,1957,"Mesa Community College",4701,1957,"Mesa Community College",4701,1957,"Mesa Community College",4701,1957,"Mesa Community College",4701,1957,"Mesa Community College",4701,1957
"127","Arizona Christian University",6537,9345,"Arizona Christian University",6537,9345,"Arizona Christian University",6537,9345,"Arizona Christian University",6537,9345,"Arizona Christian University",6537,9345,"Arizona Christian University",6537,9345
"128","Central Arizona College",6512,1192,"Central Arizona College",6512,1192,"Central Arizona College",6512,1192,"Central Arizona College",6512,1192,"Central Arizona College",6512,1192,"Central Arizona College",6512,1192
"129","Western International University",3306,8252,"Western International University",3306,8252,"Western International University",3306,8252,"Western International University",3306,8252,"Western International University",3306,8252,"Western International University",3306,8252
"130","Pima Medical Institute-Mesa",3378,7408,"Pima Medical Institute-Mesa",3378,7408,"Pima Medical Institute-Mesa",3378,7408,"Pima Medical Institute-Mesa",3378,7408,"Pima Medical Institute-Mesa",3378,7408,"Pima Medical Institute-Mesa",3378,7408
"131","Estrella Mountain Community College",3778,1491,"Estrella Mountain Community College",3778,1491,"Estrella Mountain Community College",3778,1491,"Estrella Mountain Community College",3778,1491,"Estrella Mountain Community College",3778,1491,"Estrella Mountain Community College",3778,1491
"132","Le Cordon Bleu College of Culinary Arts-Scottsdale",2071,7653,"Le Cordon Bleu College of Culinary Arts-Scottsdale",2071,7653,"Le Cordon Bleu College of Culinary Arts-Scottsdale",2071,7653,"Le Cordon Bleu College of Culinary Arts-Scottsdale",2071,7653,"Le Cordon Bleu College of Culinary Arts-Scottsdale",2071,7653,"Le Cordon Bleu College of Culinary Arts-Scottsdale",2071,7653
"133","Chandler-Gilbert Community College",4010,1907,"Chandler-Gilbert Community College",4010,1907,"Chandler-Gilbert Community College",4010,1907,"Chandler-Gilbert Community College",4010,1907,"Chandler-Gilbert Community College",4010,1907,"Chandler-Gilbert Community College",4010,1907
"134","Arizona State University-Polytechnic",10320,13296,"Arizona State University-Polytechnic",10320,13296,"Arizona State University-Polytechnic",10320,13296,"Arizona State University-Polytechnic",10320,13296,"Arizona State University-Polytechnic",10320,13296,"Arizona State University-Polytechnic",10320,13296
